term	meaning	reading
北寄貝	북방대합류	ほっきがい
帆立	가리비	ほたて
帆立貝柱	가리비 관자	ほたてかいばしら
貝柱	관자	かいばしら
赤貝	피조개	あかがい
鳥貝	새조개	とりがい
平貝	키조개류	たいらぎ
平貝貝柱	키조개 관자	たいらぎかいばしら
蛤	대합	はまぐり
浅蜊	바지락	あさり
蜆	재첩	しじみ
牡蠣	굴	かき
岩牡蠣	바위굴	いわがき
真牡蠣	참굴	まがき
生牡蠣	생굴	なまがき
蒸し牡蠣	찐 굴	むしがき
焼き牡蠣	구운 굴	やきがき
牡蠣フライ	굴튀김	かきフライ
牡蠣土手鍋	된장으로 끓이는 굴전골	かきどてなべ
磯つぶ	작은 고둥류	いそつぶ
姫さざえ	작은 소라류	ひめさざえ
ながらみ	작은 고둥류	ながらみ
亀の手	거북손	かめのて
藤壺	따개비	ふじつぼ
海鞘	멍게	ほや
真海鞘	참멍게	まぼや
海鼠	해삼	なまこ
海鼠酢	해삼 초무침	なまこす
このこ	해삼 난소를 소금에 절인 진미	このこ
海月	해파리	くらげ
海ぶどう	바다포도	うみぶどう
もずく	큰실말, 모즈쿠 해조류	もずく
もずく酢	모즈쿠 초무침	もずくす
めかぶ	미역귀	めかぶ
茎わかめ	미역 줄기	くきわかめ
青海苔	파래김	あおのり
岩海苔	돌김	いわのり
焼海苔	구운 김	やきのり
刻み海苔	잘게 썬 김	きざみのり
昆布	다시마	こんぶ
利尻昆布	리시리 다시마	りしりこんぶ
羅臼昆布	라우스 다시마	らうすこんぶ
真昆布	참다시마	まこんぶ
日高昆布	히다카 다시마	ひだかこんぶ
とろろ昆布	얇게 깎은 다시마	とろろこんぶ
おぼろ昆布	넓고 얇게 깎은 다시마	おぼろこんぶ
若布	미역	わかめ
芽ひじき	히지키 잎 부분	めひじき
長ひじき	히지키 줄기 부분	ながひじき
あかもく	아카모쿠 해조류	あかもく
ぎばさ	아카모쿠의 도호쿠식 명칭	ぎばさ
若鶏	어린 닭고기	わかどり
地鶏	토종 브랜드 닭	じどり
親鶏	성계, 오래 키운 닭	おやどり
もも肉	다리살	ももにく
むね肉	가슴살	むねにく
ささみ	닭안심	ささみ
手羽先	닭날개 끝부분	てばさき
手羽元	닭날개 윗부분	てばもと
手羽中	닭날개 중간부분	てばなか
せせり	닭 목살	せせり
ぼんじり	닭 꼬리살	ぼんじり
砂肝	닭똥집	すなぎも
ハツ	염통	ハツ
鶏皮	닭껍질	とりかわ
軟骨	연골	なんこつ
やげん軟骨	닭 가슴뼈 연골	やげんなんこつ
膝軟骨	닭 무릎 연골	ひざなんこつ
つくね串	닭완자 꼬치	つくねぐし
ねぎま	닭고기와 파를 번갈아 꽂은 꼬치	ねぎま
皮串	닭껍질 꼬치	かわぐし
豚	돼지고기	ぶた
豚バラ	돼지 삼겹살	ぶたバラ
豚肩ロース	돼지 목심·어깨등심	ぶたかたロース
豚ロース	돼지 등심	ぶたロース
豚トロ	돼지 항정살	ぶたトロ
豚足	돼지족	とんそく
豚タン	돼지 혀	ぶたタン
豚ハラミ	돼지 횡격막살	ぶたハラミ
角煮	돼지고기 간장 조림	かくに
チャーシュー	중화식 구운 또는 조린 돼지고기	チャーシュー
煮豚	간장 등에 조린 돼지고기	にぶた
和牛	와규	わぎゅう
国産牛	일본 국내산 소	こくさんぎゅう
黒毛和牛	흑모와규	くろげわぎゅう
霜降り肉	마블링 많은 고기	しもふりにく
赤身肉	지방 적은 붉은살 고기	あかみにく
牛タン	우설	ぎゅうタン
厚切り牛タン	두껍게 썬 우설	あつぎりぎゅうタン
カルビ	갈비살	カルビ
上カルビ	상급 갈비살	じょうカルビ
特上カルビ	특상 갈비살	とくじょうカルビ
ロース	등심계 부위	ロース
上ロース	상급 등심	じょうロース
ハラミ	횡격막살	ハラミ
サガリ	횡격막 아래쪽 부위	サガリ
ミスジ	부채살	ミスジ
イチボ	우둔 끝 희귀부위	イチボ
ランプ	우둔살	ランプ
ザブトン	어깨등심 안쪽 희귀부위	ザブトン
カイノミ	갈비 안쪽 안심 인접 부위	カイノミ
トモサンカク	우둔 안쪽 삼각형 희귀부위	トモサンカク
シンシン	우둔 안쪽 희귀부위	シンシン
マルシン	シンシン의 다른 명칭	マルシン
ヒレ	안심	ヒレ
シャトーブリアン	안심 중앙 최상급 부위	シャトーブリアン
サーロイン	채끝등심	サーロイン
リブロース	꽃등심	リブロース
ホルモン	내장류 구이	ホルモン
もつ	내장	もつ
もつ煮	내장 조림	もつに
もつ鍋	곱창전골	もつなべ
シマチョウ	소 대창	シマチョウ
マルチョウ	소 소장	マルチョウ
コプチャン	소 소장	コプチャン
ミノ	소 첫 번째 위	ミノ
上ミノ	상급 소 첫 번째 위	じょうミノ
ハチノス	소 두 번째 위	ハチノス
センマイ	소 세 번째 위	センマイ
ギアラ	소 네 번째 위	ギアラ
赤センマイ	소 네 번째 위의 별칭	あかセンマイ
テッチャン	대창	テッチャン
コリコリ	소 대동맥 부위	コリコリ
ハツモト	심장 근처 혈관 부위	ハツモト
ウルテ	소 기관 연골	ウルテ
シビレ	흉선 또는 췌장 부위	シビレ
ツラミ	소 볼살	ツラミ
カシラ	돼지 관자·볼 부위	カシラ
ガツ	돼지 위	ガツ
コブクロ	돼지 자궁	コブクロ
テッポウ	돼지 직장	テッポウ
チレ	비장	チレ
アカセン	소 네 번째 위	アカセン
焼肉盛り合わせ	야키니쿠 모둠	やきにくもりあわせ
ホルモン盛り合わせ	내장 모둠	ホルモンもりあわせ
馬肉	말고기	ばにく
馬刺し	말고기 육회식 회	ばさし
霜降り馬刺し	마블링 있는 말고기 회	しもふりばさし
たてがみ	말 갈기 아래 지방 부위	たてがみ
こうね	말 갈기 아래 지방 부위의 별칭	こうね
桜肉	말고기의 별칭	さくらにく
鹿肉	사슴고기	しかにく
猪肉	멧돼지고기	ししにく
牡丹鍋	멧돼지고기 전골	ぼたんなべ
鴨肉	오리고기	かもにく
合鴨	교잡 오리	あいがも
鴨ロース	오리 등심 요리	かもロース
羊肉	양고기	ようにく
ラム	어린 양고기	ラム
マトン	성숙한 양고기	マトン
ジンギスカン	홋카이도식 양고기 구이	ジンギスカン
味付けジンギスカン	양념 징기스칸	あじつけジンギスカン
生ラム	냉동하지 않은 생 양고기	なまラム
蝦夷鹿	홋카이도 에조사슴	えぞしか
熊肉	곰고기	くまにく
ジビエ	야생 조수 고기	ジビエ
蕗	머위	ふき
蕗の薹	머위 꽃봉오리	ふきのとう
蕨	고사리	わらび
薇	고비	ぜんまい
独活	두릅나무과 산나물 우도	うど
薊	엉겅퀴	あざみ
行者大蒜	산마늘류	ぎょうじゃにんにく
こごみ	고비류 어린순	こごみ
たらの芽	두릅순	たらのめ
木の芽	산초나무 어린잎	きのめ
三つ葉	참나물 비슷한 향채	みつば
芹	미나리	せり
茗荷	양하	みょうが
大葉	깻잎처럼 쓰는 차조기 잎	おおば
紫蘇	차조기	しそ
青紫蘇	청차조기	あおじそ
赤紫蘇	적차조기	あかじそ
山葵	고추냉이	わさび
本山葵	생고추냉이	ほんわさび
山葵菜	고추냉이채	わさびな
葉山葵	고추냉이 잎	はわさび
根三つ葉	뿌리째 기른 미쓰바	ねみつば
九条葱	교토 특산 파	くじょうねぎ
下仁田葱	군마 특산 굵은 파	しもにたねぎ
万願寺唐辛子	교토의 맵지 않은 고추	まんがんじとうがらし
伏見唐辛子	교토 전통 고추	ふしみとうがらし
獅子唐	꽈리고추류	ししとう
青唐辛子	풋고추	あおとうがらし
赤唐辛子	붉은 고추	あかとうがらし
一味唐辛子	고춧가루 단일 향신료	いちみとうがらし
七味唐辛子	일곱 향신료 혼합 고춧가루	しちみとうがらし
柚子胡椒	유자와 풋고추로 만든 조미료	ゆずこしょう
柚子皮	유자 껍질	ゆずかわ
すだち	스다치 감귤	すだち
かぼす	가보스 감귤	かぼす
橙	다이다이 감귤	だいだい
山椒	산초	さんしょう
粉山椒	산초가루	こなざんしょう
実山椒	산초 열매	みざんしょう
花山椒	산초 꽃	はなざんしょう
生姜	생강	しょうが
紅生姜	붉은 초생강	べにしょうが
甘酢生姜	초밥집 초생강	あまずしょうが
がり	초밥집 초생강	がり
大蒜	마늘	にんにく
新生姜	햇생강	しんしょうが
蓮根	연근	れんこん
牛蒡	우엉	ごぼう
里芋	토란	さといも
海老芋	교토계 새우 모양 토란	えびいも
長芋	긴마	ながいも
大和芋	점성이 강한 마 품종	やまといも
自然薯	자연산 참마	じねんじょ
とろろ	갈아 만든 마	とろろ
零余子	마 줄기에 맺히는 주아	むかご
慈姑	쇠귀나물 덩이줄기, 쿠와이	くわい
百合根	백합 뿌리	ゆりね
筍	죽순	たけのこ
姫竹	작은 죽순류	ひめたけ
根曲がり竹	산죽 죽순	ねまがりだけ
冬瓜	동아	とうがん
南瓜	호박	かぼちゃ
加賀蓮根	가나자와 특산 연근	かがれんこん
賀茂茄子	교토 전통 둥근 가지	かもなす
水茄子	오사카 특산 물 많은 가지	みずなす
聖護院大根	교토의 둥근 무	しょうごいんだいこん
守口大根	매우 긴 무 품종	もりぐちだいこん
京野菜	교토 전통 채소	きょうやさい
加賀野菜	가나자와 전통 채소	かがやさい
茸	버섯류	きのこ
松茸	송이버섯	まつたけ
舞茸	잎새버섯	まいたけ
椎茸	표고버섯	しいたけ
占地	시메지버섯	しめじ
榎茸	팽이버섯	えのきだけ
滑子	나메코버섯	なめこ
木耳	목이버섯	きくらげ
平茸	느타리버섯	ひらたけ
山伏茸	노루궁뎅이버섯	やまぶしたけ
本占地	혼시메지	ほんしめじ
落葉きのこ	홋카이도에서 먹는 낙엽송버섯류	らくようきのこ
炊き込みご飯	재료를 함께 넣어 지은 양념밥	たきこみごはん
混ぜご飯	지은 밥에 재료를 섞은 밥	まぜごはん
釜飯	솥밥	かまめし
土鍋ご飯	뚝배기식 냄비밥	どなべごはん
鯛めし	도미밥	たいめし
蛸飯	문어밥	たこめし
深川めし	바지락을 넣은 도쿄 향토밥	ふかがわめし
とりめし	닭고기 양념밥	とりめし
かしわ飯	규슈식 닭고기 양념밥	かしわめし
鶏飯	닭육수를 부어 먹는 아마미 향토밥	けいはん
茶漬け	차나 육수를 부어 먹는 밥	ちゃづけ
出汁茶漬け	육수를 부어 먹는 오차즈케	だしちゃづけ
焼きおにぎり	구운 주먹밥	やきおにぎり
天むす	새우튀김 주먹밥	てんむす
五平餅	밥을 으깨 꼬치에 붙여 구운 향토음식	ごへいもち
きりたんぽ	밥을 으깨 막대에 붙여 구운 아키타 음식	きりたんぽ
きりたんぽ鍋	기리탄포 전골	きりたんぽなべ
ほうとう	굵은 면과 채소를 된장국에 끓인 야마나시 요리	ほうとう
稲庭うどん	아키타의 가는 우동	いなにわうどん
讃岐うどん	가가와식 사누키 우동	さぬきうどん
伊勢うどん	굵고 부드러운 면에 진한 장을 비비는 미에 우동	いせうどん
きしめん	나고야식 납작 우동	きしめん
ひもかわうどん	군마식 매우 넓적한 우동	ひもかわうどん
五島うどん	나가사키 고토열도 우동	ごとううどん
氷見うどん	도야마 히미 우동	ひみうどん
瓦そば	기와 위에 차소바와 고명을 올린 야마구치 요리	かわらそば
茶そば	녹차를 넣은 소바	ちゃそば
へぎそば	해조류를 연결제로 쓰는 니가타 소바	へぎそば
わんこそば	작은 그릇에 계속 리필하는 이와테 소바	わんこそば
出石そば	작은 접시에 나오는 효고 이즈시 소바	いずしそば
割子そば	둥근 찬합에 담는 시마네 소바	わりごそば
十割そば	메밀가루 100% 소바	じゅうわりそば
二八そば	메밀 8 밀가루 2 비율의 소바	にはちそば
田舎そば	껍질 성분까지 써 색이 진하고 굵은 소바	いなかそば
せいろ	채반에 담아 내는 차가운 소바	せいろ
ざるそば	김 고명을 올린 차가운 소바	ざるそば
もりそば	김 없이 내는 차가운 소바	もりそば
かけそば	따뜻한 국물 소바	かけそば
鴨南蛮	오리고기와 파를 넣은 따뜻한 소바	かもなんばん
鴨せいろ	차가운 소바를 따뜻한 오리 육수에 찍어 먹는 요리	かもせいろ
にしんそば	청어 조림을 올린 소바	にしんそば
とろろそば	간 마를 올린 소바	とろろそば
辛味大根	소바와 곁들이는 매운 무	からみだいこん
つけ麺	면을 별도 국물에 찍어 먹는 라멘	つけめん
油そば	국물 없이 양념과 비벼 먹는 라멘	あぶらそば
まぜそば	국물 없이 비벼 먹는 면	まぜそば
台湾まぜそば	매콤한 다진고기를 올린 나고야식 비빔면	たいわんまぜそば
担々麺	탄탄멘	たんたんめん
汁なし担々麺	국물 없는 탄탄멘	しるなしたんたんめん
中華そば	일본식 중화면 라멘	ちゅうかそば
支那そば	옛 표현의 중화면 라멘	しなそば
家系ラーメン	요코하마계 진한 돈코츠 간장 라멘	いえけいラーメン
二郎系	양 많고 마늘·기름이 강한 라멘 계열	じろうけい
背脂	돼지 등지방	せあぶら
背脂増し	등지방 추가	せあぶらまし
脂多め	기름 많이	あぶらおおめ
麺固め	면 단단하게	めんかため
味濃いめ	간 진하게	あじこいめ
つゆだく	덮밥 국물을 많이	つゆだく
ねぎだく	파를 많이	ねぎだく
汁だく	국물 많이	しるだく
温玉	반숙 온천달걀	おんたま
温泉卵	온천달걀	おんせんたまご
生卵	날달걀	なまたまご
半熟卵	반숙달걀	はんじゅくたまご
味玉	양념 반숙달걀	あじたま
煮卵	양념에 조린 달걀	にたまご
親子丼	닭고기와 달걀 덮밥	おやこどん
他人丼	닭 외 고기와 달걀 덮밥	たにんどん
木の葉丼	어묵과 달걀을 얹은 간사이식 덮밥	このはどん
衣笠丼	유부와 파를 달걀로 익힌 교토 덮밥	きぬがさどん
ソースカツ丼	소스 돈가스 덮밥	ソースカツどん
タレカツ丼	간장 소스를 적신 얇은 돈가스 덮밥	タレカツどん
海鮮丼	해산물 덮밥	かいせんどん
鉄火丼	참치회 덮밥	てっかどん
ねぎとろ丼	다진 참치와 파 덮밥	ねぎとろどん
うに丼	성게알 덮밥	うにどん
いくら丼	연어알 덮밥	いくらどん
三色丼	세 가지 재료를 올린 덮밥	さんしょくどん
勝手丼	원하는 해산물을 골라 올리는 홋카이도식 덮밥	かってどん
漬け丼	간장에 재운 생선회 덮밥	づけどん
瓶ビール	병맥주	びんビール
中瓶	중간 크기 병	ちゅうびん
大瓶	큰 병	おおびん
小瓶	작은 병	こびん
中ジョッキ	중간 사이즈 맥주잔	ちゅうジョッキ
大ジョッキ	큰 맥주잔	だいジョッキ
小ジョッキ	작은 맥주잔	しょうジョッキ
発泡酒	저맥아 발포주	はっぽうしゅ
第三のビール	맥아 비율이 낮은 제3맥주류	だいさんのビール
ノンアルコール	무알코올	ノンアルコール
微アルコール	저알코올	びアルコール
酎ハイ	소주 베이스 탄산주	チューハイ
サワー	과즙 등을 섞은 탄산 소주 칵테일	サワー
レモンサワー	레몬 사와	レモンサワー
生搾り	생과일을 직접 짜 넣음	なましぼり
生搾りレモンサワー	생레몬 사와	なましぼりレモンサワー
ハイボール	위스키 탄산주	ハイボール
角ハイボール	산토리 가쿠 위스키 하이볼	かくハイボール
濃いめ	진하게	こいめ
薄め	연하게	うすめ
水割り	물에 타 마심	みずわり
お湯割り	뜨거운 물에 타 마심	おゆわり
ソーダ割り	탄산수에 타 마심	ソーダわり
ロック	얼음만 넣어 마심	ロック
梅酒	매실주	うめしゅ
果実酒	과실주	かじつしゅ
杏露酒	살구 리큐르	しんるちゅう
清酒	청주	せいしゅ
地酒	지역 술	じざけ
冷酒	차갑게 마시는 일본주	れいしゅ
燗酒	데운 일본주	かんざけ
熱燗	뜨겁게 데운 일본주	あつかん
ぬる燗	미지근하게 데운 일본주	ぬるかん
常温	상온	じょうおん
冷や	상온의 일본주	ひや
一合	약 180mL 한 홉	いちごう
二合	약 360mL 두 홉	にごう
徳利	일본주 술병	とっくり
お猪口	작은 일본주 잔	おちょこ
ぐい呑み	조금 큰 일본주 잔	ぐいのみ
升	사각형 일본주 잔	ます
純米酒	쌀과 누룩만으로 빚은 일본주	じゅんまいしゅ
本醸造	양조알코올을 소량 첨가한 일본주	ほんじょうぞう
吟醸	긴조 방식으로 빚은 일본주	ぎんじょう
大吟醸	더 높은 정미율 기준의 긴조주	だいぎんじょう
純米吟醸	순미 긴조주	じゅんまいぎんじょう
純米大吟醸	순미 다이긴조주	じゅんまいだいぎんじょう
特別純米	특별 순미주	とくべつじゅんまい
生酒	가열 살균하지 않은 일본주	なまざけ
生貯蔵酒	저장 전 비가열, 출하 전 1회 가열한 술	なまちょぞうしゅ
原酒	가수하지 않은 일본주	げんしゅ
無濾過	여과를 최소화하거나 하지 않은 술	むろか
無濾過生原酒	무여과 생원주	むろかなまげんしゅ
にごり酒	탁한 일본주	にごりざけ
発泡清酒	탄산감 있는 일본주	はっぽうせいしゅ
古酒	숙성 일본주	こしゅ
新酒	햇술	しんしゅ
ひやおろし	여름 숙성 후 가을에 내는 일본주	ひやおろし
しぼりたて	갓 짜낸 신선한 일본주	しぼりたて
荒走り	술을 짤 때 처음 자연스럽게 흐른 부분	あらばしり
中取り	술을 짤 때 가운데 좋은 부분	なかどり
責め	압력을 더해 마지막으로 짜낸 부분	せめ
精米歩合	도정 후 남은 쌀 비율	せいまいぶあい
日本酒度	일본주의 단맛·드라이함 지표	にほんしゅど
酸度	산도	さんど
辛口	드라이한 맛	からくち
甘口	단맛이 강한 맛	あまくち
淡麗	가볍고 깔끔한 주질	たんれい
濃醇	진하고 풍부한 주질	のうじゅん
淡麗辛口	가볍고 드라이한 스타일	たんれいからくち
濃醇甘口	진하고 단 스타일	のうじゅんあまくち
銘柄	술의 브랜드·상표명	めいがら
酒蔵	양조장	さかぐら
蔵元	양조장·양조업자	くらもと
山廃	야마하이 방식	やまはい
生酛	전통 생모토 방식	きもと
速醸	속양 방식	そくじょう
おりがらみ	침전물을 조금 남긴 일본주	おりがらみ
うすにごり	살짝 탁한 일본주	うすにごり
直汲み	짜낸 술을 탱크를 거치지 않고 바로 받는 방식	じかぐみ
袋吊り	술주머니를 매달아 자연스럽게 떨어지는 술을 받는 방식	ふくろづり
斗瓶取り	도빙에 받아 선별한 고급 술	とびんどり
槽搾り	전통 압착조로 술을 짜는 방식	ふなしぼり
雫酒	압력을 거의 주지 않고 방울져 받은 술	しずくざけ
火入れ	가열 살균	ひいれ
一回火入れ	가열 살균을 한 번만 한 술	いっかいひいれ
限定醸造	한정 양조	げんていじょうぞう
別誂	별도 사양으로 특별히 빚은 제품	べつあつらえ
山田錦	대표적인 주조용 쌀 품종	やまだにしき
雄町	전통 주조용 쌀 품종	おまち
五百万石	대표적인 주조용 쌀 품종	ごひゃくまんごく
美山錦	주조용 쌀 품종	みやまにしき
愛山	주조용 쌀 품종	あいやま
出羽燦々	야마가타의 주조용 쌀 품종	でわさんさん
八反錦	히로시마계 주조용 쌀 품종	はったんにしき
獺祭	야마구치의 일본주 브랜드	だっさい
十四代	야마가타의 일본주 브랜드	じゅうよんだい
久保田	니가타의 일본주 브랜드	くぼた
八海山	니가타의 일본주 브랜드	はっかいさん
越乃寒梅	니가타의 일본주 브랜드	こしのかんばい
黒龍	후쿠이의 일본주 브랜드	こくりゅう
而今	미에의 일본주 브랜드	じこん
新政	아키타의 일본주 브랜드	あらまさ
田酒	아오모리의 일본주 브랜드	でんしゅ
飛露喜	후쿠시마의 일본주 브랜드	ひろき
鍋島	사가의 일본주 브랜드	なべしま
作	미에의 일본주 브랜드	ざく
写楽	후쿠시마의 일본주 브랜드	しゃらく
仙禽	도치기의 일본주 브랜드	せんきん
風の森	나라의 일본주 브랜드	かぜのもり
紀土	와카야마의 일본주 브랜드	きっど
東洋美人	야마구치의 일본주 브랜드	とうようびじん
赤武	이와테의 일본주 브랜드	あかぶ
寒菊	치바의 일본주 브랜드	かんきく
天美	야마구치의 일본주 브랜드	てんび
信州亀齢	나가노의 일본주 브랜드	しんしゅうきれい
光栄菊	사가의 일본주 브랜드	こうえいぎく
楽器正宗	후쿠시마의 일본주 브랜드	がっきまさむね
鳳凰美田	도치기의 일본주 브랜드	ほうおうびでん
醸し人九平次	아이치의 일본주 브랜드	かもしびとくへいじ
伯楽星	미야기의 일본주 브랜드	はくらくせい
男山	홋카이도의 일본주 브랜드	おとこやま
国稀	홋카이도의 일본주 브랜드	くにまれ
北の勝	홋카이도의 일본주 브랜드	きたのかつ
南部美人	이와테의 일본주 브랜드	なんぶびじん
陸奥八仙	아오모리의 일본주 브랜드	むつはっせん
豊盃	아오모리의 일본주 브랜드	ほうはい
浦霞	미야기의 일본주 브랜드	うらかすみ
一ノ蔵	미야기의 일본주 브랜드	いちのくら
日高見	미야기의 일본주 브랜드	ひたかみ
雪の茅舎	아키타의 일본주 브랜드	ゆきのぼうしゃ
山本	아키타의 일본주 브랜드	やまもと
高清水	아키타의 일본주 브랜드	たかしみず
出羽桜	야마가타의 일본주 브랜드	でわざくら
くどき上手	야마가타의 일본주 브랜드	くどきじょうず
上喜元	야마가타의 일본주 브랜드	じょうきげん
楯野川	야마가타의 일본주 브랜드	たてのかわ
会津中将	후쿠시마의 일본주 브랜드	あいづちゅうじょう
奈良萬	후쿠시마의 일본주 브랜드	ならまん
来福	이바라키의 일본주 브랜드	らいふく
水芭蕉	군마의 일본주 브랜드	みずばしょう
神亀	사이타마의 일본주 브랜드	しんかめ
澤乃井	도쿄의 일본주 브랜드	さわのい
天青	가나가와의 일본주 브랜드	てんせい
〆張鶴	니가타의 일본주 브랜드	しめはりつる
菊水	니가타의 일본주 브랜드	きくすい
麒麟山	니가타의 일본주 브랜드	きりんざん
鶴齢	니가타의 일본주 브랜드	かくれい
勝駒	도야마의 일본주 브랜드	かちこま
羽根屋	도야마의 일본주 브랜드	はねや
満寿泉	도야마의 일본주 브랜드	ますいずみ
天狗舞	이시카와의 일본주 브랜드	てんぐまい
菊姫	이시카와의 일본주 브랜드	きくひめ
手取川	이시카와의 일본주 브랜드	てどりがわ
宗玄	이시카와의 일본주 브랜드	そうげん
梵	후쿠이의 일본주 브랜드	ぼん
常山	후쿠이의 일본주 브랜드	じょうざん
九頭龍	후쿠이의 일본주 브랜드	くずりゅう
七賢	야마나시의 일본주 브랜드	しちけん
真澄	나가노의 일본주 브랜드	ますみ
大信州	나가노의 일본주 브랜드	だいしんしゅう
夜明け前	나가노의 일본주 브랜드	よあけまえ
小左衛門	기후의 일본주 브랜드	こざえもん
磯自慢	시즈오카의 일본주 브랜드	いそじまん
開運	시즈오카의 일본주 브랜드	かいうん
正雪	시즈오카의 일본주 브랜드	しょうせつ
蓬莱泉	아이치의 일본주 브랜드	ほうらいせん
瀧自慢	미에의 일본주 브랜드	たきじまん
松の司	시가의 일본주 브랜드	まつのつかさ
月桂冠	교토의 일본주 브랜드	げっけいかん
黄桜	교토의 일본주 브랜드	きざくら
玉乃光	교토의 일본주 브랜드	たまのひかり
澤屋まつもと	교토의 일본주 브랜드	さわやまつもと
秋鹿	오사카의 일본주 브랜드	あきしか
白鶴	효고의 일본주 브랜드	はくつる
菊正宗	효고의 일본주 브랜드	きくまさむね
剣菱	효고의 일본주 브랜드	けんびし
沢の鶴	효고의 일본주 브랜드	さわのつる
大関	효고의 일본주 브랜드	おおぜき
日本盛	효고의 일본주 브랜드	にほんさかり
白鹿	효고의 일본주 브랜드	はくしか
福寿	효고의 일본주 브랜드	ふくじゅ
春鹿	나라의 일본주 브랜드	はるしか
みむろ杉	나라의 일본주 브랜드	みむろすぎ
篠峯	나라의 일본주 브랜드	しのみね
黒牛	와카야마의 일본주 브랜드	くろうし
千代むすび	돗토리의 일본주 브랜드	ちよむすび
王祿	시마네의 일본주 브랜드	おうろく
李白	시마네의 일본주 브랜드	りはく
賀茂鶴	히로시마의 일본주 브랜드	かもつる
雨後の月	히로시마의 일본주 브랜드	うごのつき
宝剣	히로시마의 일본주 브랜드	ほうけん
龍勢	히로시마의 일본주 브랜드	りゅうせい
雁木	야마구치의 일본주 브랜드	がんぎ
貴	야마구치의 일본주 브랜드	たか
石鎚	에히메의 일본주 브랜드	いしづち
酔鯨	고치의 일본주 브랜드	すいげい
司牡丹	고치의 일본주 브랜드	つかさぼたん
土佐鶴	고치의 일본주 브랜드	とさづる
亀泉	고치의 일본주 브랜드	かめいずみ
庭のうぐいす	후쿠오카의 일본주 브랜드	にわのうぐいす
三井の寿	후쿠오카의 일본주 브랜드	みいのことぶき
七田	사가의 일본주 브랜드	しちだ
香露	구마모토의 일본주 브랜드	こうろ
西の関	오이타의 일본주 브랜드	にしのせき
焼酎	쇼추	しょうちゅう
芋焼酎	고구마 쇼추	いもじょうちゅう
麦焼酎	보리 쇼추	むぎじょうちゅう
米焼酎	쌀 쇼추	こめじょうちゅう
黒糖焼酎	흑당 쇼추	こくとうじょうちゅう
泡盛	오키나와 전통 증류주	あわもり
古酒泡盛	숙성 아와모리	クースあわもり
泡盛古酒	숙성 아와모리	あわもりクース
甲類焼酎	연속식 증류 쇼추	こうるいしょうちゅう
乙類焼酎	단식 증류 본격 쇼추	おつるいしょうちゅう
本格焼酎	단식 증류 전통 쇼추	ほんかくしょうちゅう
霧島	미야자키의 쇼추 브랜드	きりしま
黒霧島	고구마 쇼추 브랜드	くろきりしま
白霧島	고구마 쇼추 브랜드	しろきりしま
赤霧島	고구마 쇼추 브랜드	あかきりしま
茜霧島	고구마 쇼추 브랜드	あかねきりしま
魔王	고구마 쇼추 브랜드	まおう
森伊蔵	고구마 쇼추 브랜드	もりいぞう
村尾	고구마 쇼추 브랜드	むらお
佐藤	쇼추 브랜드	さとう
伊佐美	고구마 쇼추 브랜드	いさみ
富乃宝山	고구마 쇼추 브랜드	とみのほうざん
吉兆宝山	고구마 쇼추 브랜드	きっちょうほうざん
三岳	고구마 쇼추 브랜드	みたけ
赤兎馬	고구마 쇼추 브랜드	せきとば
薩摩白波	고구마 쇼추 브랜드	さつましらなみ
島美人	고구마 쇼추 브랜드	しまびじん
黒伊佐錦	고구마 쇼추 브랜드	くろいさにしき
だいやめ	고구마 쇼추 브랜드	だいやめ
いいちこ	보리 쇼추 브랜드	いいちこ
二階堂	보리 쇼추 브랜드	にかいどう
中々	보리 쇼추 브랜드	なかなか
百年の孤独	보리 쇼추 브랜드	ひゃくねんのこどく
兼八	보리 쇼추 브랜드	かねはち
山猿	보리 쇼추 브랜드	やまざる
鳥飼	쌀 쇼추 브랜드	とりかい
白岳しろ	쌀 쇼추 브랜드	はくたけしろ
れんと	흑당 쇼추 브랜드	れんと
里の曙	흑당 쇼추 브랜드	さとのあけぼの
鍛高譚	차조기 쇼추 브랜드	たんたかたん
残波	아와모리 브랜드	ざんぱ
菊之露	아와모리 브랜드	きくのつゆ
久米仙	아와모리 브랜드	くめせん
瑞泉	아와모리 브랜드	ずいせん
忠孝	아와모리 브랜드	ちゅうこう
八重泉	아와모리 브랜드	やえせん
請福	아와모리 브랜드	せいふく
泡波	아와모리 브랜드	あわなみ
前割り	쇼추를 미리 물과 섞어 숙성한 것	まえわり
茶割り	차에 타 마심	ちゃわり
緑茶ハイ	녹차 쇼추 칵테일	りょくちゃハイ
烏龍ハイ	우롱차 쇼추 칵테일	ウーロンハイ
ホッピー	저알코올 맥주풍 음료를 쇼추와 섞어 마시는 음료	ホッピー
山崎	산토리 일본 위스키 브랜드	やまざき
白州	산토리 일본 위스키 브랜드	はくしゅう
響	산토리 일본 위스키 브랜드	ひびき
知多	산토리 일본 위스키 브랜드	ちた
角瓶	산토리 위스키 브랜드	かくびん
余市	닛카 일본 위스키 브랜드	よいち
宮城峡	닛카 일본 위스키 브랜드	みやぎきょう
竹鶴	닛카 일본 위스키 브랜드	たけつる
富士	일본 위스키 브랜드	ふじ
碧	일본 블렌디드 위스키 브랜드	あお
一番搾り	기린 맥주 브랜드	いちばんしぼり
黒ラベル	삿포로 맥주 브랜드	くろラベル
ヱビス	에비스 맥주 브랜드	エビス
